pH,Ra,fSorb,k2,k1,totRa,sites
4.0,5.96464642148e-10,0.00240066541562,-5.67,3.0,5.979e-10,0.006
4.1,5.96092883064e-10,0.00302244010035,-5.67,3.0,5.979e-10,0.006
4.2,5.95625637153e-10,0.00380391845961,-5.67,3.0,5.979e-10,0.006
4.3,5.95038632452e-10,0.0047856958488,-5.67,3.0,5.979e-10,0.006
4.4,5.94301572419e-10,0.00601844385516,-5.67,3.0,5.979e-10,0.006
4.5,5.9337672492e-10,0.00756527024586,-5.67,3.0,5.979e-10,0.006
4.6,5.92217229641e-10,0.00950454985616,-5.67,3.0,5.979e-10,0.006
4.7,5.90765096841e-10,0.011933271716,-5.67,3.0,5.979e-10,0.006
4.8,5.88948887151e-10,0.0149709196337,-5.67,3.0,5.979e-10,0.006
4.9,5.86681094359e-10,0.0187638495417,-5.67,3.0,5.979e-10,0.006
5.0,5.83855308841e-10,0.0234900337163,-5.67,3.0,5.979e-10,0.006
5.1,5.80343328934e-10,0.0293638920656,-5.67,3.0,5.979e-10,0.006
5.2,5.75992518462e-10,0.036640711721,-5.67,3.0,5.979e-10,0.006
5.3,5.70623933536e-10,0.0456197800033,-5.67,3.0,5.979e-10,0.006
5.4,5.64031898793e-10,0.0566450931711,-5.67,3.0,5.979e-10,0.006
5.5,5.55986177923e-10,0.0701017261699,-5.67,3.0,5.979e-10,0.006
5.6,5.46238023569e-10,0.0864057140508,-5.67,3.0,5.979e-10,0.006
5.7,5.34531686578e-10,0.105984802512,-5.67,3.0,5.979e-10,0.006
5.8,5.20622841555e-10,0.129247630783,-5.67,3.0,5.979e-10,0.006
5.9,5.04304758786e-10,0.156539958545,-5.67,3.0,5.979e-10,0.006
6.0,4.85441619629e-10,0.18808894526,-5.67,3.0,5.979e-10,0.006
6.1,4.64006029248e-10,0.223940409353,-5.67,3.0,5.979e-10,0.006
6.2,4.40114816005e-10,0.263898952994,-5.67,3.0,5.979e-10,0.006
6.3,4.14054528231e-10,0.307485318229,-5.67,3.0,5.979e-10,0.006
6.4,3.86287123455e-10,0.353926871626,-5.67,3.0,5.979e-10,0.006
6.5,3.5742866508e-10,0.402193234521,-5.67,3.0,5.979e-10,0.006
6.6,3.28199820324e-10,0.451079076227,-5.67,3.0,5.979e-10,0.006
6.7,2.99355074146e-10,0.499322505192,-5.67,3.0,5.979e-10,0.006
6.8,2.71604586934e-10,0.545735763616,-5.67,3.0,5.979e-10,0.006
6.9,2.45545190751e-10,0.589320637647,-5.67,3.0,5.979e-10,0.006
7.0,2.21613828686e-10,0.629346331015,-5.67,3.0,5.979e-10,0.006
7.1,2.00069406618e-10,0.665379818334,-5.67,3.0,5.979e-10,0.006
7.2,1.81000984009e-10,0.697272145829,-5.67,3.0,5.979e-10,0.006
7.3,1.64354597221e-10,0.725113568789,-5.67,3.0,5.979e-10,0.006
7.4,1.49969067766e-10,0.749173661539,-5.67,3.0,5.979e-10,0.006
7.5,1.37612286735e-10,0.769840630983,-5.67,3.0,5.979e-10,0.006
7.6,1.27012103394e-10,0.787569654802,-5.67,3.0,5.979e-10,0.006
7.7,1.17878449187e-10,0.802845878597,-5.67,3.0,5.979e-10,0.006
7.8,1.0991415302e-10,0.816166327112,-5.67,3.0,5.979e-10,0.006
7.9,1.02807580331e-10,0.828052215536,-5.67,3.0,5.979e-10,0.006
8.0,9.61682422659e-11,0.839156644479,-5.67,3.0,5.979e-10,0.006
8.1,8.87628125325e-11,0.851542377434,-5.67,3.0,5.979e-10,0.006
8.2,8.80841815125e-11,0.852677401719,-5.67,3.0,5.979e-10,0.006
8.3,8.64343131656e-11,0.855436840332,-5.67,3.0,5.979e-10,0.006
8.4,8.45288860855e-11,0.858623706162,-5.67,3.0,5.979e-10,0.006
8.5,8.25443819024e-11,0.861942830068,-5.67,3.0,5.979e-10,0.006
8.6,8.05425405511e-11,0.865290950742,-5.67,3.0,5.979e-10,0.006
8.7,7.85610731332e-11,0.868604995596,-5.67,3.0,5.979e-10,0.006
8.8,7.66334425884e-11,0.871828997176,-5.67,3.0,5.979e-10,0.006
8.9,7.47923094719e-11,0.874908330035,-5.67,3.0,5.979e-10,0.006
9.0,7.30678393858e-11,0.877792541586,-5.67,3.0,5.979e-10,0.006
9.1,7.14848156225e-11,0.880440181264,-5.67,3.0,5.979e-10,0.006
9.2,7.0060369185e-11,0.882822597115,-5.67,3.0,5.979e-10,0.006
9.3,6.88030582477e-11,0.884925475418,-5.67,3.0,5.979e-10,0.006
9.4,6.77133228534e-11,0.886748080192,-5.67,3.0,5.979e-10,0.006
9.5,6.67849345919e-11,0.88830082858,-5.67,3.0,5.979e-10,0.006
9.6,6.60069297042e-11,0.889602057695,-5.67,3.0,5.979e-10,0.006
9.7,6.53655783668e-11,0.890674730947,-5.67,3.0,5.979e-10,0.006
9.8,6.48460983877e-11,0.891543571855,-5.67,3.0,5.979e-10,0.006
9.9,6.44339830003e-11,0.892232843284,-5.67,3.0,5.979e-10,0.006
10.0,6.41159338942e-11,0.892764786931,-5.67,3.0,5.979e-10,0.006
2.0,5.97889560914e-10,1.74595852148e-05,-5.67,3.0,5.979e-10,0.0055
2.1,5.97886359852e-10,2.28134269946e-05,-5.67,3.0,5.979e-10,0.0055
2.2,5.97882257743e-10,2.96742883425e-05,-5.67,3.0,5.979e-10,0.0055
2.3,5.97877018232e-10,3.84374778391e-05,-5.67,3.0,5.979e-10,0.0055
2.4,5.97870344781e-10,4.95989613647e-05,-5.67,3.0,5.979e-10,0.0055
2.5,5.97861866302e-10,6.37793912026e-05,-5.67,3.0,5.979e-10,0.0055
2.6,5.97851117314e-10,8.17572938617e-05,-5.67,3.0,5.979e-10,0.0055
2.7,5.97837513528e-10,0.000104509904666,-5.67,3.0,5.979e-10,0.0055
2.8,5.97820320874e-10,0.000133264970731,-5.67,3.0,5.979e-10,0.0055
2.9,5.97798616459e-10,0.000169566049506,-5.67,3.0,5.979e-10,0.0055
3.0,5.97771239429e-10,0.000215354693092,-5.67,3.0,5.979e-10,0.0055
3.1,5.97736729184e-10,0.000273073784914,-5.67,3.0,5.979e-10,0.0055
3.2,5.97693247783e-10,0.000345797318949,-5.67,3.0,5.979e-10,0.0055
3.3,5.97638482521e-10,0.000437393341696,-5.67,3.0,5.979e-10,0.0055
3.4,5.97569523686e-10,0.000552728406088,-5.67,3.0,5.979e-10,0.0055
3.5,5.97482711239e-10,0.000697924002341,-5.67,3.0,5.979e-10,0.0055
3.6,5.97373442653e-10,0.000880677951162,-5.67,3.0,5.979e-10,0.0055
3.7,5.97235932282e-10,0.00111066686402,-5.67,3.0,5.979e-10,0.0055
3.8,5.97062910446e-10,0.00140004942967,-5.67,3.0,5.979e-10,0.0055
3.9,5.96845247727e-10,0.00176409478675,-5.67,3.0,5.979e-10,0.0055
4.0,5.96571486925e-10,0.00222196533701,-5.67,3.0,5.979e-10,0.0055
4.1,5.96227261584e-10,0.00279768927245,-5.67,3.0,5.979e-10,0.0055
4.2,5.9579457617e-10,0.00352136449239,-5.67,3.0,5.979e-10,0.0055
4.3,5.95250919048e-10,0.00443064216759,-5.67,3.0,5.979e-10,0.0055
4.4,5.94568175845e-10,0.0055725441629,-5.67,3.0,5.979e-10,0.0055
4.5,5.93711308432e-10,0.00700567246697,-5.67,3.0,5.979e-10,0.0055
4.6,5.92636764973e-10,0.0088028684178,-5.67,3.0,5.979e-10,0.0055
4.7,5.91290591614e-10,0.0110543709416,-5.67,3.0,5.979e-10,0.0055
4.8,5.89606229725e-10,0.0138715007108,-5.67,3.0,5.979e-10,0.0055
4.9,5.87502009529e-10,0.0173908521007,-5.67,3.0,5.979e-10,0.0055
5.0,5.84878398475e-10,0.021778895342,-5.67,3.0,5.979e-10,0.0055
5.1,5.81615140727e-10,0.0272367607844,-5.67,3.0,5.979e-10,0.0055
5.2,5.77568543972e-10,0.0340047767653,-5.67,3.0,5.979e-10,0.0055
5.3,5.72569338327e-10,0.0423660506322,-5.67,3.0,5.979e-10,0.0055
5.4,5.66421800719e-10,0.0526479332347,-5.67,3.0,5.979e-10,0.0055
5.5,5.58905022605e-10,0.0652198986369,-5.67,3.0,5.979e-10,0.0055
5.6,5.49777678267e-10,0.0804855690467,-5.67,3.0,5.979e-10,0.0055
5.7,5.38787715699e-10,0.0988665066081,-5.67,3.0,5.979e-10,0.0055
5.8,5.25688509011e-10,0.120775198175,-5.67,3.0,5.979e-10,0.0055
5.9,5.10262529692e-10,0.14657546464,-5.67,3.0,5.979e-10,0.0055
6.0,4.92352426804e-10,0.176530478669,-5.67,3.0,5.979e-10,0.0055
6.1,4.71897337579e-10,0.210742034489,-5.67,3.0,5.979e-10,0.0055
6.2,4.4896943431e-10,0.249089422462,-5.67,3.0,5.979e-10,0.0055
6.3,4.23802863871e-10,0.291181027143,-5.67,3.0,5.979e-10,0.0055
6.4,3.96805685028e-10,0.336334361887,-5.67,3.0,5.979e-10,0.0055
6.5,3.6854670029e-10,0.383598092842,-5.67,3.0,5.979e-10,0.0055
6.6,3.39714031597e-10,0.431821321965,-5.67,3.0,5.979e-10,0.0055
6.7,3.11049981103e-10,0.479762533696,-5.67,3.0,5.979e-10,0.0055
6.8,2.83274310817e-10,0.526217911328,-5.67,3.0,5.979e-10,0.0055
6.9,2.57012078056e-10,0.570142033691,-5.67,3.0,5.979e-10,0.0055
7.0,2.32740557448e-10,0.610736649192,-5.67,3.0,5.979e-10,0.0055
7.1,2.10763379793e-10,0.647493929097,-5.67,3.0,5.979e-10,0.0055
7.2,1.91211913437e-10,0.680194157155,-5.67,3.0,5.979e-10,0.0055
7.3,1.74067472608e-10,0.708868585703,-5.67,3.0,5.979e-10,0.0055
7.4,1.59194995933e-10,0.733743107655,-5.67,3.0,5.979e-10,0.0055
7.5,1.46379240086e-10,0.755177721883,-5.67,3.0,5.979e-10,0.0055
7.6,1.35356856314e-10,0.773612884573,-5.67,3.0,5.979e-10,0.0055
7.7,1.25840244786e-10,0.789529612333,-5.67,3.0,5.979e-10,0.0055
7.8,1.17530084045e-10,0.803428526434,-5.67,3.0,5.979e-10,0.0055
7.9,1.10109236643e-10,0.815840045755,-5.67,3.0,5.979e-10,0.0055
8.0,1.0317833661e-10,0.827432118063,-5.67,3.0,5.979e-10,0.0055
8.1,9.54791656483e-11,0.84030913924,-5.67,3.0,5.979e-10,0.0055
8.2,9.46462858464e-11,0.841702147773,-5.67,3.0,5.979e-10,0.0055
8.3,9.281409212e-11,0.844766529319,-5.67,3.0,5.979e-10,0.0055
8.4,9.07335233248e-11,0.848246323257,-5.67,3.0,5.979e-10,0.0055
8.5,8.85797207077e-11,0.851848602262,-5.67,3.0,5.979e-10,0.0055
8.6,8.64139415699e-11,0.855470912243,-5.67,3.0,5.979e-10,0.0055
8.7,8.4274308036e-11,0.859049493166,-5.67,3.0,5.979e-10,0.0055
8.8,8.21954391565e-11,0.86252644396,-5.67,3.0,5.979e-10,0.0055
8.9,8.02115927601e-11,0.865844467703,-5.67,3.0,5.979e-10,0.0055
9.0,7.83546182141e-11,0.868950295678,-5.67,3.0,5.979e-10,0.0055
9.1,7.66507505082e-11,0.871800049326,-5.67,3.0,5.979e-10,0.0055
9.2,7.51181184985e-11,0.874363407763,-5.67,3.0,5.979e-10,0.0055
9.3,7.3765724445e-11,0.876625314526,-5.67,3.0,5.979e-10,0.0055
9.4,7.25939110595e-11,0.878585196422,-5.67,3.0,5.979e-10,0.0055
9.5,7.15959033463e-11,0.88025438477,-5.67,3.0,5.979e-10,0.0055
9.6,7.07598740919e-11,0.881652660826,-5.67,3.0,5.979e-10,0.0055
9.7,7.00710516583e-11,0.882804730459,-5.67,3.0,5.979e-10,0.0055
9.8,6.95135558706e-11,0.883737153587,-5.67,3.0,5.979e-10,0.0055
9.9,6.90718212974e-11,0.884475963711,-5.67,3.0,5.979e-10,0.0055
10.0,6.87315978199e-11,0.885044994447,-5.67,3.0,5.979e-10,0.0055
2.0,5.97890472071e-10,1.59356564642e-05,-5.67,3.0,5.979e-10,0.005
2.1,5.97887544486e-10,2.08321023582e-05,-5.67,3.0,5.979e-10,0.005
2.2,5.97883790813e-10,2.71101973572e-05,-5.67,3.0,5.979e-10,0.005
2.3,5.97878993479e-10,3.51338367619e-05,-5.67,3.0,5.979e-10,0.005
2.4,5.97872880077e-10,4.53586268606e-05,-5.67,3.0,5.979e-10,0.005
