pH,Ra(mol/kgw),m_Ra+2(mol/kgw),m_RaCl+(mol/kgw),m_RaCl2(mol/kgw),m_Ra(OH)+(mol/kgw),m_Ra(OH)2(mol/kgw),m_Ra(HCO3)+(mol/kgw),m_Ra(CO3)(mol/kgw),m_FhyOHRa+2(mol/kgw),fSorb,k1,totRa,sites
2.3,3.23704329672e-10,3.22681259126e-10,1.01834245297e-12,4.72715568498e-15,1.64930955922e-21,8.00601795202e-34,9.35782079102e-19,6.56722277421e-25,2.74195670279e-10,0.458597876448,9.9,5.979e-10,6.23e-06
2.4,2.84519278055e-10,2.83787788736e-10,7.28778780718e-13,2.70947494203e-15,1.8701968181e-21,1.15204204164e-33,1.06108873348e-18,9.44948197528e-25,3.13380722443e-10,0.524135678115,9.9,5.979e-10,6.23e-06
2.5,2.46280624696e-10,2.45766647611e-10,5.12451038199e-13,1.52486213947e-15,2.083474499e-21,1.62742957956e-33,1.18206770084e-18,1.33480542942e-24,3.51619376192e-10,0.588090609306,9.9,5.979e-10,6.23e-06
2.6,2.10134333758e-10,2.09779039892e-10,3.54448919158e-13,8.43649278319e-16,2.28289645314e-21,2.2595765206e-33,1.2951722966e-18,1.85318674993e-24,3.87765667326e-10,0.648546021478,9.9,5.979e-10,6.23e-06
2.7,1.76956095489e-10,1.76714117347e-10,2.41517157425e-13,4.5958389896e-16,2.46387606984e-21,3.08820802498e-33,1.39779697495e-18,2.53264348452e-24,4.20943905613e-10,0.704037304752,9.9,5.979e-10,6.23e-06
2.8,1.47296014775e-10,1.47133367269e-10,1.62399055197e-13,2.46959714556e-16,2.62373636577e-21,4.16197538658e-33,1.4884190777e-18,3.41302981249e-24,4.50603986205e-10,0.753644397433,9.9,5.979e-10,6.23e-06
2.9,1.21386706141e-10,1.21278616813e-10,1.07956605605e-13,1.31152315431e-16,2.7616038741e-21,5.54115485137e-33,1.56653841678e-18,4.5437054693e-24,4.76513294627e-10,0.796978246963,9.9,5.979e-10,6.23e-06
3.0,9.91963574557e-11,9.91252104329e-11,7.10764208621e-14,6.89666129649e-17,2.87806258445e-21,7.30109945508e-33,1.63248064958e-18,5.98634968981e-24,4.98703643057e-10,0.834092059783,9.9,5.979e-10,6.23e-06
3.1,8.05026059566e-11,8.04561436398e-11,4.64246517602e-14,3.59748885143e-17,2.97470904068e-21,9.53654657288e-33,1.68714450703e-18,7.81846690914e-24,5.17397394293e-10,0.86535774217,9.9,5.979e-10,6.23e-06
3.2,6.49668456534e-11,6.49366959377e-11,3.01293349931e-14,1.8645869693e-17,3.05372225173e-21,1.23669504271e-32,1.73175735195e-18,1.01377171542e-23,5.32933154352e-10,0.89134161958,9.9,5.979e-10,6.23e-06
3.3,5.21965655378e-11,5.21770984969e-11,1.94556528993e-14,9.61717273433e-18,3.11751379957e-21,1.59430925214e-32,1.76767614959e-18,1.30672692905e-23,5.45703434258e-10,0.912700174715,9.9,5.979e-10,6.23e-06
