pH,Ra(mol/kgw),m_Ra+2(mol/kgw),m_RaCl+(mol/kgw),m_RaCl2(mol/kgw),m_Ra(OH)+(mol/kgw),m_Ra(OH)2(mol/kgw),m_Ra(HCO3)+(mol/kgw),m_Ra(CO3)(mol/kgw),m_FhyOHRa+2(mol/kgw),fSorb,k1,totRa,sites
9.8,1.26763507691e-18,1.25597114399e-18,4.15387872946e-35,0.0,2.42511438164e-22,3.95039892197e-27,4.65301758172e-22,1.09561157744e-20,5.97902140896e-10,0.99999999788,10.0,5.979e-10,6.23e-06
9.9,8.27353336589e-19,8.18451864104e-19,2.45875139219e-35,0.0,1.98373682177e-22,4.06417150761e-27,2.84282010896e-22,8.41881272814e-21,5.97902321792e-10,0.999999998616,10.0,5.979e-10,6.23e-06
10.0,5.43254389453e-19,5.36488354398e-19,1.4492988459e-35,0.0,1.63164442472e-22,4.20376094858e-27,1.72662637152e-22,6.43020377172e-21,5.9790254939e-10,0.999999999091,10.0,5.979e-10,6.23e-06
2.0,5.97745781792e-10,5.94272981126e-10,3.44172074233e-12,3.10774602753e-14,1.3947193428e-21,3.29509476798e-34,2.46275708309e-18,8.41359210465e-25,1.54217149207e-13,0.000257933112082,9.9,5.979e-10,6.23e-06
2.1,5.97731444464e-10,5.94883110228e-10,2.8278123128e-12,2.05187179227e-14,1.81454360526e-21,5.45486337111e-34,3.20406169618e-18,1.39270944641e-24,1.68554482349e-13,0.000281912586565,9.9,5.979e-10,6.23e-06
2.2,5.97713978923e-10,5.95383850251e-10,2.31662805371e-12,1.3496459928e-14,2.35356087524e-21,8.99410842863e-34,4.15582527282e-18,2.29617577695e-24,1.86020774401e-13,0.000311124062106,9.9,5.979e-10,6.23e-06
2.3,5.97692734255e-10,5.95791177911e-10,1.89270453915e-12,8.84642666864e-15,3.04408312335e-21,1.47745835796e-33,5.37509724938e-18,3.77170897176e-24,2.07266624744e-13,0.000346656204782,9.9,5.979e-10,6.23e-06
2.4,5.97667023784e-10,5.96118754877e-10,1.54248222231e-12,5.77974681793e-15,3.92694816541e-21,2.4186822496e-33,6.9339778487e-18,6.17421597568e-24,2.3297846338e-13,0.00038965749511,9.9,5.979e-10,6.23e-06
2.5,5.97636090165e-10,5.96378144109e-10,1.25417219653e-12,3.76493042224e-15,5.05374369115e-21,3.94701740494e-33,8.92354281847e-18,1.00752340514e-23,2.63913454332e-13,0.000441394606303,9.9,5.979e-10,6.23e-06
2.6,5.9759906174e-10,5.96578997173e-10,1.01760727994e-12,2.44582094004e-15,6.48960811882e-21,6.42245681955e-33,1.14587852831e-17,1.63935299148e-23,3.00943136705e-13,0.000503325406284,9.9,5.979e-10,6.23e-06
2.7,5.97554903779e-10,5.96729218908e-10,8.24085208756e-13,1.58496879293e-15,8.316756956e-21,1.04228022358e-32,1.46848363974e-17,2.66037110378e-23,3.45102167726e-13,0.000577180499875,9.9,5.979e-10,6.23e-06
2.8,5.97502362121e-10,5.96835108195e-10,6.6621030775e-13,1.02482317293e-15,1.0638921284e-20,1.68741316218e-32,1.87847929812e-17,4.30691312451e-23,3.97644676199e-13,0.000665057499718,9.9,5.979e-10,6.23e-06
2.9,5.97439892308e-10,5.9690146832e-10,5.37738671964e-13,6.6131296719e-16,1.35869324039e-20,2.72588373014e-32,2.39895632553e-17,6.95726857297e-23,4.60115112563e-13,0.000769539541755,9.9,5.979e-10,6.23e-06
3.0,5.97365563676e-10,5.96931676342e-10,4.33430749546e-13,4.25976606118e-16,1.73257457441e-20,4.39470962531e-32,3.0590244837e-17,1.12162449345e-22,5.34444152819e-13,0.000893855701223,9.9,5.979e-10,6.23e-06
3.1,5.97276923156e-10,5.96927696086e-10,3.48914146172e-13,2.7394793571e-16,2.20632703132e-20,7.07246242537e-32,3.89536763908e-17,1.80497898004e-22,6.23084890298e-13,0.0010421087878,9.9,5.979e-10,6.23e-06
